Designator,Mid X,Mid Y,Rotation,Layer
D1,79.69,-100.5,180.0,bottom
D2,100.19,-100.5,180.0,bottom
D3,120.69,-100.5,180.0,bottom
D4,79.5,-80.0,180.0,bottom
D5,100.0,-80.0,180.0,bottom
D6,120.5,-80.5,180.0,bottom
D7,79.69,-121.0,180.0,bottom
D8,100.19,-121.0,180.0,bottom
D9,120.69,-121.0,180.0,bottom
SW1,77.285,-69.71,0.0,top
SW10,117.75,-46.5,0.0,top
SW2,77.285,-89.21,0.0,top
SW3,77.285,-108.75,0.0,top
SW4,96.785,-69.71,0.0,top
SW5,96.865,-89.21,0.0,top
SW6,96.865,-108.75,0.0,top
SW7,116.445,-69.71,0.0,top
SW8,116.445,-89.21,0.0,top
SW9,116.445,-108.75,0.0,top
U1,97.4175,-47.251,0.0,top
